"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp"
"FF","2020-09-23","91.4","3.35","5.6","Dickerson, Corey",572816,594795,"field_out","hit_into_play",,,,,"5","Corey Dickerson flies out to center fielder Ender Inciarte.","R","L","L","ATL","MIA","X","8","fly_ball","2","2",2020,"0.82","1.49","0.22","2.58",,,"605119","2","6","Top",138.69,41.85,,,"452095",,,-9.647890590241943,-132.76189136359778,-4.90392958320142,11.75585499355587,29.436835181319694,-13.686745063589925,"3.39","1.55","372","94.2","33","91.4","2310","6.5",630554,594795,"452095","518692","645277","588751","621020","455976","542255","660670","54.01","0.147","0.258","0","1","0","0","3","54","8","4-Seam Fastball","9","4","4","9","4","9","4","9","Standard","Strategic","143","0.008","-0.216"
"FC","2020-09-22","87.3","2.29","5.31","Dickerson, Corey",572816,621345,"single","hit_into_play",,,,,"4","Corey Dickerson singles on a line drive to left fielder Adam Duvall.","R","L","L","ATL","MIA","X","7","line_drive","2","1",2020,"-0.27","0.41","-0.71","2.58",,,,"0","8","Top",62.14,128.95,,,"518595",,,-6.644025770168563,-127.18218850262525,-1.3711671793549114,-1.7870982747345072,22.412891646345273,-27.596972481337104,"3.39","1.55","171","79.2","13","87.6","2478","6.1",630385,621345,"518595","518692","645277","663586","621020","594807","542255","660670","54.41","0.533","0.48","0.9","1","1","0","4","64","4","Cutter","9","1","1","9","1","9","1","9","Standard","Standard","211","-0.001","0.356"
"FF","2020-09-12","96.4","1.52","5.8","Dickerson, Corey",572816,668941,"field_out","hit_into_play",,,,,"3","Corey Dickerson pops out to third baseman Alec Bohm in foul territory.","R","L","L","MIA","PHI","X","5","popup","0","2",2020,"1.08","1.29","0.54","2.88",,,,"0","6","Bot",84.84,175.33,,,"592663",,,-4.972737990452601,-140.2943420017214,-5.045132278901412,15.448644364899943,32.30890214801441,-14.16075348251073,"3.39","1.55","115","71.0","68","94.9","2408","5.4",631311,668941,"592663","656555","516416","664761","544369","664247","656514","547180","55.07","0","0","0","1","0","0","3","50","3","4-Seam Fastball","3","6","3","6","6","3","3","6","Standard","Standard","127","-0.026","-0.153"
"FF","2020-09-05","93.9","1.78","6.47","Dickerson, Corey",572816,605483,"home_run","hit_into_play",,,,,"8","Corey Dickerson homers (6) on a line drive to center field.   Harold Ramirez scores.","R","L","L","TB","MIA","X",,"line_drive","0","1",2020,"0.62","1.53","0.04","2.06",,,"623912","1","4","Top",83.67,31.85,,,"605421",,,-5.983205538298564,-136.3468570817459,-9.206933781402194,9.12237055483166,30.715161009706005,-11.17402808571054,"3.39","1.55","406","102.7","26","95.2","2294","7.2",630955,605483,"605421","596847","664040","663993","621563","640457","595281","592669","53.26","0.867","1.655","2","1","0","3","6","27","2","4-Seam Fastball","0","2","2","0","4","0","4","0","Standard","Standard","150","-0.138","1.773"
"SI","2020-09-04","89.3","2.6","5.7","Dickerson, Corey",572816,676596,"field_out","hit_into_play",,,,,"12","Corey Dickerson pops out to third baseman Joey Wendle.","R","L","L","TB","MIA","X","5","popup","0","1",2020,"1.55","0.55","1.10","2.65",,,,"1","5","Top",103.63,161.24,,,"605421",,,-6.98195038277382,-129.79065583999756,-2.6203087781433982,19.03273793621202,27.713839238631675,-25.662231153047546,"3.39","1.55","111","48.7","55","89.5","1830","6.5",630954,676596,"605421","596847","664040","621563","642715","640457","595281","622534","53.96","0.04","0.036","0","1","0","0","1","35","2","Sinker","5","2","2","5","2","5","2","5","Standard","Standard","123","0.015","-0.142"
"FC","2020-09-04","84.3","2.78","5.74","Dickerson, Corey",572816,676596,"home_run","hit_into_play",,,,,"4","Corey Dickerson homers (5) on a line drive to left field.","R","L","L","TB","MIA","X",,"line_drive","1","2",2020,"-0.08","0.61","-0.39","2.17",,,,"0","3","Top",27.17,82.98,,,"605421",,,-7.237029847103503,-122.63185857912615,-3.184024149548425,0.5555714549321178,23.19516040047999,-25.577380496458577,"3.39","1.55","335","99.2","23","85","1881","6.7",630954,676596,"605421","596847","664040","621563","642715","640457","595281","622534","53.84","0.427","0.541","2","1","0","3","5","15","4","Cutter","1","0","0","1","1","1","1","1","Standard","Standard","136","-0.117","1.07"
"FC","2020-09-02","84.8","2.26","5.85","Dickerson, Corey",572816,547943,"field_out","hit_into_play",,,,,"4","Corey Dickerson flies out to left fielder Lourdes Gurriel Jr.","R","L","L","MIA","TOR","X","7","fly_ball","0","0",2020,"0.06","0.66","-0.36","2.42",,"605119",,"0","6","Bot",80.55,136.57,,,"643376",,,-6.289411684845552,-123.39251593474428,-3.0327488042255535,1.8209660862666788,23.529121192283192,-25.074199942540105,"3.39","1.55","195","90.8","62","85.5","2095","6.6",631308,547943,"643376","642133","542340","543768","669289","666971","624415","606192","53.85","0.007","0.006","0","1","0","0","3","47","1","Cutter","1","2","1","2","2","1","1","2","Standard","Standard","159","-0.074","-0.354"
"CH","2020-09-02","81.5","2.63","5.54","Dickerson, Corey",572816,547943,"field_out","hit_into_play",,,,,"7","Corey Dickerson flies out to left fielder Lourdes Gurriel Jr.","R","L","L","MIA","TOR","X","7","fly_ball","1","1",2020,"1.14","0.62","-0.30","1.62",,,"542583","1","4","Bot",64.9,119.11,,,"643376",,,-8.859018135301097,-118.30175780973269,-3.433762452936437,12.353187428864668,22.113885462425188,-25.877263010939508,"3.39","1.55","238","85.1","52","82.4","1511","7",631308,547943,"643376","642133","542340","543768","669289","666971","624415","606192","53.51","0.02","0.029","0","1","0","0","3","30","3","Changeup","0","0","0","0","0","0","0","0","Standard","Standard","116","-0.034","-0.268"
"FF","2020-09-01","93.6","2.31","5.95","Dickerson, Corey",572816,592662,"field_out","hit_into_play",,,,,"7","Corey Dickerson lines out to left fielder Lourdes Gurriel Jr.","R","L","L","MIA","TOR","X","7","line_drive","3","2",2020,"0.97","1.17","-0.41","1.65",,,"542932","2","5","Bot",71.92,110.01,,,"624512",,,-9.191769051102163,-135.90001274930785,-7.953503933945957,14.041591175619086,29.823737926842732,-16.01134102979666,"3.38","1.55","294","90.9","21","93.9","2188","6.6",631307,592662,"624512","642133","624415","543768","542340","666971","545341","605233","53.91","0.267","0.251","0","1","0","0","3","40","6","4-Seam Fastball","1","2","1","2","2","1","1","2","Standard","Standard","146","-0.036","-0.278"
"CU","2020-08-30","79.5","1.53","6.66","Dickerson, Corey",572816,605483,"home_run","hit_into_play",,,,,"8","Corey Dickerson homers (4) on a fly ball to right center field.","R","L","L","MIA","TB","X",,"fly_ball","2","1",2020,"-1.01","-0.95","0.13","1.73",,,,"1","4","Bot",176.39,37.73,,,"607345",,,-1.1699872600372352,-115.66632461610793,-2.1450780935683023,-8.632382729555292,25.820978068008234,-40.33462408701533,"3.41","1.56","398","102.4","34","79.4","2399","6.7",631306,605483,"607345","596847","621563","650490","642715","657434","595281","592669","53.79","0.6","1.19","2","1","0","3","6","30","4","Curveball","0","5","0","5","5","1","1","5","Standard","Standard","330","0.044","0.973"
"CU","2020-08-28","70.3","2.73","5.06","Dickerson, Corey",572816,642232,"field_out","hit_into_play",,,,,"13","Corey Dickerson flies out to right fielder Brandon Lowe.","R","L","L","MIA","TB","X","9","fly_ball","0","2",2020,"-1.5","0.16","-0.63","1.23",,,"542932","1","6","Bot",173.91,92.3,,,"605421",,,-4.0381762664561505,-102.26900090229508,0.031816543711813416,-9.725124178727064,18.439939605355875,-31.31158498637981,"3.39","1.55","299","80.4","29","70.1","2311","6.4",631304,642232,"605421","596847","621563","650490","642715","640457","622534","664040","54.1","0.107","0.096","0","1","0","0","3","42","3","Curveball","0","0","0","0","0","0","0","0","Standard","Standard","280","-0.041","-0.196"
