"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp"
"SL","2020-09-23","85.7","-2.5","6.44","Dickerson, Corey",572816,592426,"field_out","hit_into_play",,,,,"6","Corey Dickerson flies out to left fielder Nick Markakis.","R","L","R","ATL","MIA","X","7","fly_ball","1","1",2020,"0.02","-0.58","0.57","2.47",,,,"0","2","Top",76.08,90.09,,,"452095",,,7.253041836637051,-124.79160306564034,-2.0409406168684847,-1.0907909527019026,22.085843939458858,-38.0830202588446,"3.39","1.55","284","80.7","34","86.7","2552","6.6",630554,592426,"452095","518692","645277","588751","621020","455976","542255","660670","53.85","0.02","0.018","0","1","0","0","3","15","3","Slider","3","2","2","3","2","3","2","3","Standard","Standard","41","0.024","-0.241"
"CH","2020-09-22","86.7","-2.88","5.46","Dickerson, Corey",572816,669060,"field_out","hit_into_play",,,,,"8","Corey Dickerson flies out to left fielder Adam Duvall.","R","L","R","ATL","MIA","X","7","fly_ball","2","2",2020,"-1.4","0.64","-0.26","1.74",,,,"2","5","Top",67.23,132.11,,,"518595",,,9.126518809158318,-125.86994368779845,-4.011293600331266,-16.666105069171042,24.67890044839438,-24.7117557416284,"3.39","1.55","212","83.3","58","87","1871","6.5",630385,669060,"518595","518692","645277","663586","621020","594807","660670","455976","53.99","0.013","0.016","0","1","0","0","3","36","5","Changeup","2","0","0","2","0","2","0","2","Standard","Standard","241","0.012","-0.096"
"SL","2020-09-22","90.1","-3.02","5.29","Dickerson, Corey",572816,669060,"single","hit_into_play",,,,,"14","Corey Dickerson singles on a line drive to right fielder Nick Markakis.","R","L","R","ATL","MIA","X","9","line_drive","2","2",2020,"0.09","0.79","1.33","1.43",,,,"1","3","Top",189.29,113.46,,,"518595",,,10.68092277504848,-130.78421835508126,-5.3551602879443845,-0.953376548391648,24.949935857830095,-22.194425177888174,"3.39","1.55","172","76.3","16","90.9","2220","6.7",630385,669060,"518595","518692","645277","663586","621020","594807","660670","455976","53.78","0.8","0.738","0.9","1","1","0","4","19","6","Slider","2","0","0","2","0","2","0","2","Standard","Standard","210","-0.028","0.285"
"FF","2020-09-22","93.7","-2.9","5.56","Dickerson, Corey",572816,669060,"single","hit_into_play",,,,,"5","Corey Dickerson singles on a line drive to left fielder Adam Duvall.","R","L","R","ATL","MIA","X","7","line_drive","1","1",2020,"-0.69","1.14","-0.02","2.22",,,,"0","1","Top",83.4,94.9,,,"518595",,,9.041363887119008,-136.0613661727932,-5.444311804670038,-10.525613254935985,29.766376128999404,-16.92926483748313,"3.39","1.55","183","98.9","8","94.5","2089","6.8",630385,669060,"518595","518692","645277","663586","621020","594807","660670","455976","53.65","0.633","0.579","0.9","1","1","0","4","1","3","4-Seam Fastball","0","0","0","0","0","0","0","0","Standard","Standard","226","-0.036","0.407"
"FC","2020-09-21","91.5","-3.05","6.13","Dickerson, Corey",572816,455119,"double","hit_into_play",,,,,"5","Corey Dickerson doubles (5) on a sharp fly ball to left fielder Marcell Ozuna.","R","L","R","ATL","MIA","X","7","fly_ball","3","2",2020,"0.04","0.63","0.07","2.14",,,,"0","7","Top",72.93,46.69,,,"452095",,,7.83211182245995,-132.98925295914816,-5.549951836146672,-1.2578833197363761,28.654627530286728,-23.737511504374304,"3.39","1.55","380","102.1","25","92","2121","6.6",630440,455119,"452095","518692","645277","663586","621020","542303","660670","594807","53.85","0.733","1.247","1.25","1","1","1","6","56","8","Cutter","5","3","3","5","3","5","3","5","Standard","Standard","200","-0.086","0.564"
"SL","2020-09-21","88.5","-1.8","6.39","Dickerson, Corey",572816,660623,"field_out","hit_into_play",,,,,"14","Corey Dickerson flies out to left fielder Marcell Ozuna.","R","L","R","ATL","MIA","X","7","fly_ball","0","2",2020,"0.08","0.06","0.04","1.38",,,,"0","1","Top",36.89,108.41,,,"452095",,,4.290523436552003,-128.78455778090387,-6.275714013330174,0.06820594992892687,25.323408246606416,-30.451072158272,"3.39","1.55","299","92.5","34","88","2435","5.8",630440,660623,"452095","518692","645277","663586","621020","542303","660670","594807","54.66","0.073","0.122","0","1","0","0","3","1","4","Slider","0","0","0","0","0","0","0","0","Standard","Standard","46","0.022","-0.153"
"FC","2020-09-20","90.1","-3.26","5.3","Dickerson, Corey",572816,453286,"field_out","hit_into_play",,,,,"6","Corey Dickerson pops out to shortstop Trea Turner.","R","L","R","MIA","WSH","X","6","popup","0","0",2020,"-0.34","0.91","0.67","2.44",,,,"1","5","Bot",114.09,159.13,,,"543228",,,10.418965000470186,-130.75928434377155,-2.988244251874137,-6.219449253418928,29.615057217348284,-21.275728748870858,"3.39","1.55","106","75.4","70","89.3","2546","6.1",631305,453286,"543228","519346","671277","666198","607208","665742","664057","571788","54.39","0","0","0","1","0","0","3","40","1","Cutter","1","1","1","1","1","1","1","1","Standard","Strategic","221","-0.028","-0.168"
"SL","2020-09-18","75.0","-0.53","6.04","Dickerson, Corey",572816,607560,"single","hit_into_play",,,,,"9","Corey Dickerson singles on a sharp line drive to right fielder Michael A.   Taylor.   Lewis Brinson scores.    Sean Rodriguez to 3rd.","R","L","R","MIA","WSH","X","9","line_drive","1","0",2020,"1.55","-0.68","0.38","1.50",,"621446","446481","2","5","Bot",199.29,90.18,,,"435559",,,-0.8770520141409655,-109.20720729351338,-0.9135253271721314,12.464131416865834,22.300378727043512,-37.64897896014158,"3.39","1.55","257","102.3","18","74.9","2299","6.5",631342,607560,"435559","669738","543281","666198","607208","665742","645302","572191","53.99","0.433","0.465","0.9","1","1","0","5","51","2","Slider","9","3","9","3","3","10","10","3","Infield shift","Standard","58","0.003","0.842"
"FF","2020-09-18","92.2","-1.43","6.12","Dickerson, Corey",572816,640444,"home_run","hit_into_play",,,,,"14","Corey Dickerson homers (7) on a line drive to right center field.","R","L","R","MIA","WSH","X",,"line_drive","3","2",2020,"-0.03","1.55","0.45","1.25",,,,"0","1","Bot",176.65,36.45,,,"435559",,,4.830918156869177,-133.8409462927674,-9.846028604714203,-1.4497163237323691,31.60935513800352,-11.55388309688668,"3.39","1.55","423","108.5","24","91.6","2344","6.3",631342,640444,"435559","669738","543281","666198","607208","665742","645302","572191","54.2","0.987","1.948","2","1","0","3","6","7","6","4-Seam Fastball","0","2","0","2","2","1","1","2","Standard","Standard","205","0.113","0.932"
"FF","2020-09-18","94.0","-1.92","6.87","Dickerson, Corey",572816,630263,"field_out","hit_into_play",,,,,"12","Corey Dickerson lines out to center fielder Victor Robles.","R","L","R","MIA","WSH","X","8","line_drive","2","2",2020,"-0.49","1.36","0.41","3.53",,,,"1","4","Bot",98.87,47.28,,,"435559",,,7.099077265272535,-136.54919907422206,-5.859893535278295,-7.746523843988432,32.50793790606299,-14.044231093795275,"3.39","1.55","364","99.9","23","93.4","2326","6.2",631342,630263,"435559","669738","543281","666198","607208","665742","645302","572191","54.3","0.52","0.704","0","1","0","0","5","36","5","4-Seam Fastball","6","2","6","2","2","6","6","2","Infield shift","Standard","214","-0.003","-0.148"
